"frame","x [nm]","y [nm]","intensity [photon]","offset [photon]"
  109.0000,10894.0000, 3717.0000,15646.0000,  296.0000
 3566.0000,10875.0000, 3691.0000,11248.0000,  317.0000
 3579.0000,10879.0000, 3694.0000,10897.0000,  297.0000
 3580.0000,10877.0000, 3695.0000,10671.0000,  296.0000
 3581.0000,10877.0000, 3700.0000,10668.0000,  300.0000
 3582.0000,10875.0000, 3697.0000,10706.0000,  279.0000
 3583.0000,10874.0000, 3701.0000,10579.0000,  287.0000
 3584.0000,10875.0000, 3694.0000,10570.0000,  285.0000
11775.0000,10889.0000, 3710.0000,12594.0000,  434.0000
11784.0000,10911.0000, 3693.0000, 9939.0000,  513.0000
12800.0000,10886.0000, 3711.0000,11595.0000,  420.0000
12801.0000,10879.0000, 3693.0000,12038.0000,  360.0000
12802.0000,10884.0000, 3704.0000,12171.0000,  341.0000
12803.0000,10877.0000, 3697.0000,12732.0000,  338.0000
12804.0000,10879.0000, 3696.0000,12471.0000,  338.0000
22267.0000,10882.0000, 3703.0000,31504.0000,  117.0000
22272.0000,10899.0000, 3706.0000,33866.0000,  117.0000
22274.0000,10891.0000, 3712.0000,33365.0000,  100.0000
24167.0000,10884.0000, 3687.0000,11167.0000,  239.0000
24168.0000,10882.0000, 3701.0000,10318.0000,  240.0000
24169.0000,10878.0000, 3692.0000,10502.0000,  247.0000
24170.0000,10882.0000, 3693.0000,10853.0000,  244.0000
24171.0000,10882.0000, 3692.0000,10870.0000,  241.0000
24172.0000,10886.0000, 3694.0000, 9985.0000,  248.0000
24173.0000,10903.0000, 3691.0000, 9648.0000,  225.0000
24174.0000,10901.0000, 3700.0000, 9801.0000,  220.0000
24175.0000,10901.0000, 3694.0000, 9682.0000,  239.0000
24176.0000,10901.0000, 3692.0000, 9970.0000,  226.0000
24177.0000,10905.0000, 3696.0000, 9519.0000,  236.0000
24178.0000,10904.0000, 3695.0000, 9790.0000,  234.0000
24596.0000,10901.0000, 3712.0000, 6482.0000,  278.0000
24597.0000,10902.0000, 3712.0000, 8343.0000,  301.0000
24599.0000,10902.0000, 3714.0000, 8127.0000,  292.0000
24600.0000,10907.0000, 3712.0000, 8263.0000,  302.0000
24601.0000,10909.0000, 3710.0000, 8705.0000,  300.0000
24603.0000,10907.0000, 3710.0000, 8031.0000,  306.0000
24614.0000,10898.0000, 3706.0000, 3255.0000,  261.0000
24616.0000,10901.0000, 3699.0000, 3153.0000,  294.0000
24617.0000,10908.0000, 3700.0000, 3101.0000,  290.0000
24618.0000,10904.0000, 3686.0000, 3356.0000,  268.0000
26136.0000,10875.0000, 3698.0000,11122.0000,  277.0000
26141.0000,10877.0000, 3696.0000,11040.0000,  282.0000
26472.0000,10902.0000, 3687.0000,14057.0000,  362.0000
26473.0000,10908.0000, 3687.0000,12062.0000,  376.0000
26477.0000,10881.0000, 3699.0000, 8206.0000,  243.0000
26679.0000,10897.0000, 3711.0000, 3975.0000,  308.0000
26682.0000,10892.0000, 3715.0000, 8916.0000,  261.0000
26685.0000,10905.0000, 3711.0000, 7166.0000,  331.0000
26686.0000,10879.0000, 3701.0000,10694.0000,  227.0000
26688.0000,10883.0000, 3707.0000, 8039.0000,  304.0000
28997.0000,10880.0000, 3708.0000, 8386.0000,  229.0000
29001.0000,10879.0000, 3706.0000, 8607.0000,  246.0000
30359.0000,10894.0000, 3708.0000, 9818.0000,  420.0000
34673.0000,10880.0000, 3710.0000,14908.0000,  298.0000
36524.0000,10885.0000, 3712.0000, 8888.0000,  246.0000
36529.0000,10891.0000, 3714.0000, 8268.0000,  291.0000
36531.0000,10903.0000, 3715.0000, 8339.0000,  306.0000
39495.0000,10886.0000, 3689.0000,10768.0000,  335.0000
39496.0000,10884.0000, 3689.0000,10586.0000,  331.0000
39497.0000,10887.0000, 3687.0000,10389.0000,  325.0000
39498.0000,10889.0000, 3690.0000,10290.0000,  325.0000
39499.0000,10885.0000, 3685.0000,10875.0000,  329.0000
39500.0000,10880.0000, 3687.0000,10353.0000,  337.0000
39501.0000,10887.0000, 3687.0000, 9738.0000,  341.0000
39502.0000,10891.0000, 3692.0000,10137.0000,  334.0000
39503.0000,10882.0000, 3684.0000, 9847.0000,  344.0000
39505.0000,10888.0000, 3690.0000,10812.0000,  311.0000
39506.0000,10882.0000, 3689.0000,10711.0000,  290.0000
39507.0000,10881.0000, 3695.0000, 9995.0000,  285.0000
39508.0000,10892.0000, 3694.0000, 9736.0000,  265.0000
39509.0000,10888.0000, 3698.0000,10638.0000,  298.0000
39510.0000,10890.0000, 3686.0000,10549.0000,  320.0000
39511.0000,10892.0000, 3695.0000,10957.0000,  318.0000
39512.0000,10898.0000, 3694.0000,10985.0000,  311.0000
39514.0000,10898.0000, 3700.0000,10614.0000,  322.0000
39515.0000,10890.0000, 3698.0000,11079.0000,  316.0000
39516.0000,10887.0000, 3692.0000,10832.0000,  314.0000
39517.0000,10901.0000, 3697.0000,10085.0000,  369.0000
39518.0000,10907.0000, 3695.0000, 9998.0000,  387.0000
39519.0000,10910.0000, 3690.0000, 9036.0000,  393.0000
39520.0000,10901.0000, 3688.0000, 9381.0000,  381.0000
39521.0000,10903.0000, 3688.0000, 9599.0000,  373.0000
41466.0000,10906.0000, 3708.0000, 5171.0000,  252.0000
41467.0000,10907.0000, 3709.0000, 8637.0000,  275.0000
41469.0000,10910.0000, 3706.0000, 8426.0000,  270.0000
41471.0000,10905.0000, 3709.0000, 9059.0000,  250.0000
41472.0000,10906.0000, 3710.0000, 8687.0000,  261.0000
41474.0000,10904.0000, 3709.0000, 8874.0000,  262.0000
41476.0000,10906.0000, 3709.0000, 8947.0000,  259.0000
46911.0000,10879.0000, 3711.0000,13856.0000,  272.0000
46926.0000,10883.0000, 3708.0000,12094.0000,  262.0000
46931.0000,10881.0000, 3707.0000, 3055.0000,  210.0000
48826.0000,10906.0000, 3695.0000,26057.0000,  362.0000
48827.0000,10906.0000, 3692.0000,26358.0000,  374.0000
48828.0000,10907.0000, 3694.0000,26627.0000,  363.0000
48829.0000,10910.0000, 3693.0000,26529.0000,  362.0000
48830.0000,10911.0000, 3690.0000,25920.0000,  379.0000
48831.0000,10905.0000, 3694.0000,26828.0000,  358.0000
48832.0000,10910.0000, 3692.0000,26718.0000,  369.0000
50187.0000,10878.0000, 3709.0000,11739.0000,  313.0000
50194.0000,10879.0000, 3709.0000,12045.0000,  262.0000
50195.0000,10884.0000, 3707.0000,11617.0000,  283.0000
50201.0000,10877.0000, 3704.0000,12229.0000,  257.0000
50202.0000,10880.0000, 3694.0000,11889.0000,  266.0000
50203.0000,10881.0000, 3704.0000,12483.0000,  257.0000
50205.0000,10875.0000, 3698.0000,12672.0000,  274.0000
50206.0000,10878.0000, 3705.0000,11528.0000,  288.0000
50207.0000,10877.0000, 3695.0000,11517.0000,  292.0000
50209.0000,10875.0000, 3693.0000,12297.0000,  273.0000
50210.0000,10877.0000, 3695.0000,12448.0000,  266.0000
50211.0000,10874.0000, 3701.0000,12036.0000,  287.0000
50212.0000,10879.0000, 3703.0000,11819.0000,  284.0000
50214.0000,10881.0000, 3704.0000,12179.0000,  264.0000
51347.0000,10893.0000, 3694.0000,10757.0000,  273.0000
51348.0000,10891.0000, 3706.0000,11309.0000,  283.0000
51349.0000,10887.0000, 3699.0000,10143.0000,  263.0000
53616.0000,10891.0000, 3688.0000,22105.0000,  280.0000
53617.0000,10890.0000, 3690.0000,22268.0000,  279.0000
53618.0000,10892.0000, 3696.0000,22238.0000,  292.0000
53619.0000,10896.0000, 3689.0000,22233.0000,  278.0000
61719.0000,10910.0000, 3707.0000,10007.0000,  236.0000
68740.0000,10875.0000, 3694.0000, 8600.0000,  266.0000
68743.0000,10874.0000, 3701.0000, 8917.0000,  235.0000
68744.0000,10889.0000, 3707.0000, 8560.0000,  244.0000
68752.0000,10880.0000, 3699.0000, 9151.0000,  219.0000
68753.0000,10889.0000, 3703.0000, 9125.0000,  219.0000
68754.0000,10881.0000, 3704.0000, 5931.0000,  209.0000
69122.0000,10909.0000, 3694.0000, 2175.0000,  231.0000
69123.0000,10904.0000, 3701.0000, 9208.0000,  270.0000
69124.0000,10911.0000, 3695.0000, 6196.0000,  238.0000
  109.0000,10894.0000, 3717.0000,15646.0000,  296.0000
  279.0000,10892.0000, 3732.0000,12916.0000,  348.0000
  280.0000,10900.0000, 3733.0000,12723.0000,  400.0000
  282.0000,10898.0000, 3731.0000,11036.0000,  460.0000
 8368.0000,10904.0000, 3728.0000,26411.0000,  222.0000
11774.0000,10872.0000, 3723.0000,14458.0000,  397.0000
11775.0000,10889.0000, 3710.0000,12594.0000,  434.0000
12798.0000,10879.0000, 3715.0000,14233.0000,  374.0000
12800.0000,10886.0000, 3711.0000,11595.0000,  420.0000
12802.0000,10884.0000, 3704.0000,12171.0000,  341.0000
15496.0000,10895.0000, 3728.0000, 3990.0000,  204.0000
15497.0000,10884.0000, 3731.0000,11244.0000,  227.0000
15498.0000,10885.0000, 3728.0000,10757.0000,  253.0000
15499.0000,10881.0000, 3724.0000,10929.0000,  255.0000
15500.0000,10890.0000, 3732.0000,11785.0000,  246.0000
15501.0000,10889.0000, 3733.0000,11235.0000,  254.0000
15502.0000,10895.0000, 3732.0000,10498.0000,  280.0000
15503.0000,10890.0000, 3730.0000,10685.0000,  287.0000
15504.0000,10891.0000, 3733.0000,10837.0000,  277.0000
15505.0000,10890.0000, 3733.0000,10467.0000,  284.0000
15506.0000,10892.0000, 3739.0000,10932.0000,  281.0000
15507.0000,10893.0000, 3731.0000,10781.0000,  282.0000
15508.0000,10889.0000, 3730.0000,11333.0000,  285.0000
15509.0000,10887.0000, 3735.0000,11554.0000,  275.0000
15510.0000,10891.0000, 3731.0000,11239.0000,  280.0000
15511.0000,10888.0000, 3733.0000,10662.0000,  288.0000
15512.0000,10887.0000, 3730.0000,11557.0000,  275.0000
15513.0000,10891.0000, 3731.0000,10775.0000,  313.0000
15514.0000,10883.0000, 3734.0000,11352.0000,  298.0000
15515.0000,10892.0000, 3733.0000,10470.0000,  305.0000
15516.0000,10888.0000, 3733.0000,11203.0000,  294.0000
15517.0000,10894.0000, 3738.0000, 9580.0000,  303.0000
15518.0000,10897.0000, 3733.0000, 8854.0000,  302.0000
15519.0000,10894.0000, 3739.0000, 9786.0000,  304.0000
15520.0000,10895.0000, 3734.0000, 9396.0000,  320.0000
15521.0000,10893.0000, 3738.0000,10532.0000,  315.0000
15523.0000,10892.0000, 3731.0000,11152.0000,  270.0000
15524.0000,10888.0000, 3732.0000,12189.0000,  268.0000
15525.0000,10891.0000, 3739.0000,11096.0000,  280.0000
15527.0000,10895.0000, 3736.0000,11309.0000,  271.0000
15528.0000,10892.0000, 3738.0000,11116.0000,  274.0000
15529.0000,10891.0000, 3732.0000,10286.0000,  278.0000
21170.0000,10872.0000, 3716.0000, 3630.0000,  209.0000
22267.0000,10882.0000, 3703.0000,31504.0000,  117.0000
22268.0000,10885.0000, 3718.0000,32056.0000,  116.0000
22269.0000,10884.0000, 3716.0000,31580.0000,  118.0000
22270.0000,10879.0000, 3715.0000,31970.0000,  122.0000
22272.0000,10899.0000, 3706.0000,33866.0000,  117.0000
22274.0000,10891.0000, 3712.0000,33365.0000,  100.0000
24596.0000,10901.0000, 3712.0000, 6482.0000,  278.0000
24597.0000,10902.0000, 3712.0000, 8343.0000,  301.0000
24599.0000,10902.0000, 3714.0000, 8127.0000,  292.0000
24614.0000,10898.0000, 3706.0000, 3255.0000,  261.0000
26679.0000,10897.0000, 3711.0000, 3975.0000,  308.0000
26680.0000,10902.0000, 3726.0000, 8496.0000,  229.0000
26681.0000,10895.0000, 3721.0000, 7952.0000,  255.0000
26682.0000,10892.0000, 3715.0000, 8916.0000,  261.0000
26683.0000,10895.0000, 3717.0000, 7002.0000,  320.0000
26684.0000,10891.0000, 3717.0000, 7241.0000,  333.0000
26687.0000,10885.0000, 3717.0000, 9518.0000,  251.0000
26688.0000,10883.0000, 3707.0000, 8039.0000,  304.0000
28994.0000,10877.0000, 3718.0000, 8563.0000,  229.0000
28995.0000,10875.0000, 3706.0000, 7858.0000,  258.0000
28996.0000,10874.0000, 3715.0000, 8587.0000,  233.0000
28997.0000,10880.0000, 3708.0000, 8386.0000,  229.0000
28998.0000,10874.0000, 3716.0000, 8260.0000,  236.0000
28999.0000,10875.0000, 3711.0000, 9189.0000,  228.0000
29000.0000,10871.0000, 3714.0000, 8554.0000,  232.0000
29001.0000,10879.0000, 3706.0000, 8607.0000,  246.0000
29002.0000,10873.0000, 3714.0000, 8061.0000,  256.0000
29003.0000,10874.0000, 3718.0000, 9029.0000,  235.0000
29004.0000,10877.0000, 3716.0000, 8299.0000,  252.0000
29005.0000,10880.0000, 3713.0000, 9333.0000,  219.0000
29006.0000,10873.0000, 3719.0000, 8733.0000,  234.0000
29007.0000,10876.0000, 3714.0000, 8471.0000,  231.0000
29008.0000,10877.0000, 3716.0000, 8902.0000,  239.0000
29009.0000,10868.0000, 3716.0000, 8856.0000,  242.0000
29012.0000,10873.0000, 3709.0000, 8989.0000,  230.0000
29013.0000,10874.0000, 3716.0000, 8193.0000,  246.0000
29014.0000,10877.0000, 3714.0000, 2605.0000,  216.0000
30359.0000,10894.0000, 3708.0000, 9818.0000,  420.0000
34673.0000,10880.0000, 3710.0000,14908.0000,  298.0000
36522.0000,10902.0000, 3726.0000, 8824.0000,  285.0000
36523.0000,10886.0000, 3720.0000, 8753.0000,  243.0000
36524.0000,10885.0000, 3712.0000, 8888.0000,  246.0000
36525.0000,10883.0000, 3719.0000, 8229.0000,  246.0000
36526.0000,10895.0000, 3718.0000, 8625.0000,  268.0000
36527.0000,10896.0000, 3723.0000, 5271.0000,  276.0000
36528.0000,10904.0000, 3717.0000, 8856.0000,  279.0000
36529.0000,10891.0000, 3714.0000, 8268.0000,  291.0000
36531.0000,10903.0000, 3715.0000, 8339.0000,  306.0000
36729.0000,10881.0000, 3731.0000,10237.0000,  268.0000
41475.0000,10905.0000, 3718.0000, 9427.0000,  250.0000
46908.0000,10874.0000, 3717.0000,12624.0000,  256.0000
46909.0000,10881.0000, 3719.0000,11359.0000,  262.0000
46910.0000,10879.0000, 3722.0000,12160.0000,  266.0000
46911.0000,10879.0000, 3711.0000,13856.0000,  272.0000
46912.0000,10872.0000, 3716.0000,12607.0000,  263.0000
46913.0000,10881.0000, 3713.0000,12185.0000,  279.0000
46914.0000,10884.0000, 3729.0000,14074.0000,  282.0000
46916.0000,10880.0000, 3715.0000,12469.0000,  269.0000
46917.0000,10877.0000, 3714.0000,12307.0000,  268.0000
46918.0000,10877.0000, 3714.0000,12358.0000,  260.0000
46919.0000,10884.0000, 3715.0000,12709.0000,  257.0000
46920.0000,10877.0000, 3711.0000,12354.0000,  266.0000
46921.0000,10880.0000, 3716.0000,12241.0000,  266.0000
46922.0000,10881.0000, 3714.0000,11825.0000,  257.0000
46923.0000,10881.0000, 3715.0000,12089.0000,  260.0000
46924.0000,10879.0000, 3713.0000,11944.0000,  263.0000
46925.0000,10873.0000, 3720.0000,11870.0000,  285.0000
46926.0000,10883.0000, 3708.0000,12094.0000,  262.0000
46927.0000,10874.0000, 3722.0000,11297.0000,  281.0000
46929.0000,10883.0000, 3721.0000, 2773.0000,  209.0000
46930.0000,10895.0000, 3726.0000, 3023.0000,  210.0000
46931.0000,10881.0000, 3707.0000, 3055.0000,  210.0000
46932.0000,10879.0000, 3722.0000, 2846.0000,  211.0000
46933.0000,10883.0000, 3720.0000, 2965.0000,  204.0000
46934.0000,10900.0000, 3719.0000, 2872.0000,  210.0000
50186.0000,10882.0000, 3714.0000,11062.0000,  383.0000
50187.0000,10878.0000, 3709.0000,11739.0000,  313.0000
50188.0000,10878.0000, 3709.0000,12015.0000,  302.0000
50189.0000,10876.0000, 3712.0000, 9500.0000,  287.0000
50191.0000,10895.0000, 3718.0000, 3622.0000,  261.0000
50194.0000,10879.0000, 3709.0000,12045.0000,  262.0000
50195.0000,10884.0000, 3707.0000,11617.0000,  283.0000
50196.0000,10873.0000, 3707.0000,12955.0000,  254.0000
50197.0000,10874.0000, 3707.0000,12606.0000,  260.0000
50199.0000,10875.0000, 3710.0000,11088.0000,  251.0000
50201.0000,10877.0000, 3704.0000,12229.0000,  257.0000
50203.0000,10881.0000, 3704.0000,12483.0000,  257.0000
50206.0000,10878.0000, 3705.0000,11528.0000,  288.0000
50212.0000,10879.0000, 3703.0000,11819.0000,  284.0000
50213.0000,10874.0000, 3707.0000,11949.0000,  278.0000
50214.0000,10881.0000, 3704.0000,12179.0000,  264.0000
50215.0000,10874.0000, 3706.0000,12556.0000,  267.0000
51348.0000,10891.0000, 3706.0000,11309.0000,  283.0000
54520.0000,10898.0000, 3735.0000, 8182.0000,  240.0000
54525.0000,10899.0000, 3735.0000, 9133.0000,  255.0000
54534.0000,10898.0000, 3731.0000, 4205.0000,  235.0000
54546.0000,10894.0000, 3737.0000, 8559.0000,  237.0000
56579.0000,10891.0000, 3736.0000,11818.0000,  256.0000
68744.0000,10889.0000, 3707.0000, 8560.0000,  244.0000
68753.0000,10889.0000, 3703.0000, 9125.0000,  219.0000
68754.0000,10881.0000, 3704.0000, 5931.0000,  209.0000
  108.0000,10917.0000, 3717.0000,15591.0000,  317.0000
  109.0000,10894.0000, 3717.0000,15646.0000,  296.0000
  412.0000,10910.0000, 3727.0000,17685.0000,  397.0000
  425.0000,10918.0000, 3714.0000,33597.0000,  311.0000
 8368.0000,10904.0000, 3728.0000,26411.0000,  222.0000
11775.0000,10889.0000, 3710.0000,12594.0000,  434.0000
12800.0000,10886.0000, 3711.0000,11595.0000,  420.0000
12802.0000,10884.0000, 3704.0000,12171.0000,  341.0000
15496.0000,10895.0000, 3728.0000, 3990.0000,  204.0000
22267.0000,10882.0000, 3703.0000,31504.0000,  117.0000
22268.0000,10885.0000, 3718.0000,32056.0000,  116.0000
22269.0000,10884.0000, 3716.0000,31580.0000,  118.0000
22272.0000,10899.0000, 3706.0000,33866.0000,  117.0000
22274.0000,10891.0000, 3712.0000,33365.0000,  100.0000
24168.0000,10882.0000, 3701.0000,10318.0000,  240.0000
24173.0000,10903.0000, 3691.0000, 9648.0000,  225.0000
24174.0000,10901.0000, 3700.0000, 9801.0000,  220.0000
24175.0000,10901.0000, 3694.0000, 9682.0000,  239.0000
24176.0000,10901.0000, 3692.0000, 9970.0000,  226.0000
24177.0000,10905.0000, 3696.0000, 9519.0000,  236.0000
24178.0000,10904.0000, 3695.0000, 9790.0000,  234.0000
24179.0000,10914.0000, 3699.0000, 6189.0000,  225.0000
24596.0000,10901.0000, 3712.0000, 6482.0000,  278.0000
24597.0000,10902.0000, 3712.0000, 8343.0000,  301.0000
24598.0000,10910.0000, 3712.0000, 8392.0000,  307.0000
24599.0000,10902.0000, 3714.0000, 8127.0000,  292.0000
24600.0000,10907.0000, 3712.0000, 8263.0000,  302.0000
24601.0000,10909.0000, 3710.0000, 8705.0000,  300.0000
24602.0000,10910.0000, 3711.0000, 8474.0000,  312.0000
24603.0000,10907.0000, 3710.0000, 8031.0000,  306.0000
24604.0000,10909.0000, 3714.0000, 8053.0000,  333.0000
24605.0000,10916.0000, 3711.0000, 8116.0000,  320.0000
24607.0000,10915.0000, 3717.0000, 6088.0000,  289.0000
24614.0000,10898.0000, 3706.0000, 3255.0000,  261.0000
24616.0000,10901.0000, 3699.0000, 3153.0000,  294.0000
24617.0000,10908.0000, 3700.0000, 3101.0000,  290.0000
26679.0000,10897.0000, 3711.0000, 3975.0000,  308.0000
26680.0000,10902.0000, 3726.0000, 8496.0000,  229.0000
26681.0000,10895.0000, 3721.0000, 7952.0000,  255.0000
26682.0000,10892.0000, 3715.0000, 8916.0000,  261.0000
26683.0000,10895.0000, 3717.0000, 7002.0000,  320.0000
26684.0000,10891.0000, 3717.0000, 7241.0000,  333.0000
26685.0000,10905.0000, 3711.0000, 7166.0000,  331.0000
26687.0000,10885.0000, 3717.0000, 9518.0000,  251.0000
26688.0000,10883.0000, 3707.0000, 8039.0000,  304.0000
28997.0000,10880.0000, 3708.0000, 8386.0000,  229.0000
29005.0000,10880.0000, 3713.0000, 9333.0000,  219.0000
30359.0000,10894.0000, 3708.0000, 9818.0000,  420.0000
34673.0000,10880.0000, 3710.0000,14908.0000,  298.0000
36521.0000,10907.0000, 3723.0000, 8348.0000,  296.0000
36522.0000,10902.0000, 3726.0000, 8824.0000,  285.0000
36523.0000,10886.0000, 3720.0000, 8753.0000,  243.0000
36524.0000,10885.0000, 3712.0000, 8888.0000,  246.0000
36525.0000,10883.0000, 3719.0000, 8229.0000,  246.0000
36526.0000,10895.0000, 3718.0000, 8625.0000,  268.0000
36527.0000,10896.0000, 3723.0000, 5271.0000,  276.0000
36528.0000,10904.0000, 3717.0000, 8856.0000,  279.0000
36529.0000,10891.0000, 3714.0000, 8268.0000,  291.0000
36530.0000,10906.0000, 3723.0000, 8880.0000,  287.0000
36531.0000,10903.0000, 3715.0000, 8339.0000,  306.0000
39502.0000,10891.0000, 3692.0000,10137.0000,  334.0000
39508.0000,10892.0000, 3694.0000, 9736.0000,  265.0000
39509.0000,10888.0000, 3698.0000,10638.0000,  298.0000
39511.0000,10892.0000, 3695.0000,10957.0000,  318.0000
39512.0000,10898.0000, 3694.0000,10985.0000,  311.0000
39514.0000,10898.0000, 3700.0000,10614.0000,  322.0000
39515.0000,10890.0000, 3698.0000,11079.0000,  316.0000
39517.0000,10901.0000, 3697.0000,10085.0000,  369.0000
39518.0000,10907.0000, 3695.0000, 9998.0000,  387.0000
39522.0000,10914.0000, 3697.0000, 6640.0000,  378.0000
41466.0000,10906.0000, 3708.0000, 5171.0000,  252.0000
41467.0000,10907.0000, 3709.0000, 8637.0000,  275.0000
41468.0000,10906.0000, 3713.0000, 8822.0000,  266.0000
41469.0000,10910.0000, 3706.0000, 8426.0000,  270.0000
41470.0000,10905.0000, 3716.0000, 8430.0000,  267.0000
41471.0000,10905.0000, 3709.0000, 9059.0000,  250.0000
41472.0000,10906.0000, 3710.0000, 8687.0000,  261.0000
41473.0000,10912.0000, 3711.0000, 8835.0000,  270.0000
41474.0000,10904.0000, 3709.0000, 8874.0000,  262.0000
41475.0000,10905.0000, 3718.0000, 9427.0000,  250.0000
41476.0000,10906.0000, 3709.0000, 8947.0000,  259.0000
41477.0000,10910.0000, 3718.0000, 8919.0000,  271.0000
41478.0000,10918.0000, 3711.0000, 6113.0000,  249.0000
46909.0000,10881.0000, 3719.0000,11359.0000,  262.0000
46911.0000,10879.0000, 3711.0000,13856.0000,  272.0000
46913.0000,10881.0000, 3713.0000,12185.0000,  279.0000
46916.0000,10880.0000, 3715.0000,12469.0000,  269.0000
46919.0000,10884.0000, 3715.0000,12709.0000,  257.0000
46922.0000,10881.0000, 3714.0000,11825.0000,  257.0000
46923.0000,10881.0000, 3715.0000,12089.0000,  260.0000
46926.0000,10883.0000, 3708.0000,12094.0000,  262.0000
46928.0000,10907.0000, 3728.0000, 3332.0000,  218.0000
46929.0000,10883.0000, 3721.0000, 2773.0000,  209.0000
46930.0000,10895.0000, 3726.0000, 3023.0000,  210.0000
46931.0000,10881.0000, 3707.0000, 3055.0000,  210.0000
46933.0000,10883.0000, 3720.0000, 2965.0000,  204.0000
46934.0000,10900.0000, 3719.0000, 2872.0000,  210.0000
47187.0000,10918.0000, 3707.0000, 8492.0000,  274.0000
